Realistic,Investigative,Artistic,Social,Enterprising,Conventional,CGPA,Programming,Mathematics,ProblemSolving,Communication,Leadership,Creativity,Technical,DataAnalysis,PublicSpeaking,Research,Career
4.1,7.9,6.5,5.7,7.8,4.6,1.85,2.5,2.0,4.6,4.5,4.0,4.5,5.0,3.1,4.8,1.4,Entrepreneur
8.2,8.4,5.9,5.0,2.5,5.1,4.27,2.2,4.3,4.6,1.9,2.0,1.9,4.1,3.7,4.0,5.0,Medical Lab Scientist
5.8,5.4,6.0,6.3,9.4,4.9,3.33,2.4,3.2,3.2,4.9,5.0,4.7,3.6,2.4,3.2,4.0,Entrepreneur
5.4,6.1,3.4,4.2,7.1,8.2,3.13,2.6,4.6,2.7,3.8,2.1,3.1,1.4,5.0,2.9,2.5,Accountant/Auditor
7.6,9.9,6.4,6.7,5.8,5.2,3.33,2.7,2.7,4.0,4.1,4.3,2.6,4.2,4.2,1.9,4.4,Medical Lab Scientist
5.4,9.1,4.1,5.4,6.4,7.5,4.33,4.1,4.9,4.4,3.5,2.7,2.8,3.2,4.9,4.3,5.0,Data Scientist
5.4,5.5,4.5,7.2,8.4,7.5,3.36,3.2,5.0,4.2,4.1,2.7,2.5,2.2,4.5,2.6,3.5,Banker/Financial Analyst
7.5,9.8,5.1,1.9,4.9,6.1,4.23,3.6,4.3,3.6,4.6,2.6,3.3,3.8,4.5,1.7,3.7,Data Scientist
9.3,8.2,4.7,5.2,8.5,6.7,3.18,4.7,5.0,4.3,4.0,4.2,4.1,4.6,3.5,2.7,4.3,Cybersecurity Analyst
8.4,6.0,3.0,2.6,5.0,5.8,3.63,3.0,3.8,4.6,4.5,3.4,3.3,4.7,4.5,2.1,4.8,Civil/Mechanical Engineer
3.9,3.4,8.9,6.0,8.0,3.9,3.17,1.0,2.7,4.0,4.0,4.5,5.0,3.1,1.9,2.3,2.9,Graphic Designer/UI-UX
8.1,6.7,5.2,5.4,4.5,5.4,4.03,2.8,4.2,3.9,2.6,5.0,3.3,5.0,5.0,2.8,3.8,Civil/Mechanical Engineer
10.0,8.6,5.2,5.0,4.7,3.3,3.72,3.4,3.7,5.0,4.2,2.3,4.7,4.6,2.8,4.1,3.5,Civil/Mechanical Engineer
4.9,8.8,4.1,8.8,5.0,4.3,4.47,3.6,3.6,3.5,5.0,4.2,3.2,3.5,3.4,3.7,3.3,Teacher/Lecturer
2.2,6.0,7.2,5.6,5.3,6.6,3.32,4.0,3.0,3.9,4.9,3.4,5.0,2.7,3.3,4.0,2.3,Graphic Designer/UI-UX
5.8,4.1,6.9,7.2,8.9,5.8,3.99,2.5,2.6,3.7,4.5,4.7,4.6,2.0,4.3,5.0,4.8,Marketing/Sales Executive
7.9,9.5,3.8,6.1,4.0,6.0,3.83,4.4,4.6,4.9,1.4,4.1,2.0,4.9,4.7,1.4,3.1,Software Developer
8.7,8.1,6.7,3.3,6.0,4.3,3.86,4.0,3.6,4.1,4.2,4.1,4.4,5.0,3.2,5.0,3.6,Civil/Mechanical Engineer
2.3,7.4,8.1,8.0,9.2,2.6,3.95,3.0,4.3,3.9,4.9,4.0,3.3,2.0,2.8,5.0,3.4,Human Resources Manager
4.6,7.0,3.3,4.7,4.8,7.5,3.75,2.6,4.8,3.6,2.9,2.3,3.5,2.4,4.3,2.9,2.7,Accountant/Auditor
5.1,3.6,6.1,6.4,10.0,7.0,2.62,2.8,3.1,5.0,4.0,5.0,3.7,2.9,2.5,2.8,2.5,Entrepreneur
1.3,8.0,7.8,6.6,9.1,4.0,3.39,3.7,2.2,3.6,4.4,3.9,4.0,1.2,2.7,4.6,2.8,Marketing/Sales Executive
3.7,3.0,6.4,7.8,8.8,7.1,3.64,1.8,2.5,5.0,4.4,4.1,4.0,2.7,5.0,4.7,2.9,Marketing/Sales Executive
4.2,6.5,2.4,3.5,8.4,7.8,4.21,2.3,5.0,3.6,5.0,3.9,3.2,1.9,4.9,4.4,3.5,Banker/Financial Analyst
7.8,7.9,3.8,5.2,5.0,6.5,3.19,3.1,4.0,3.7,2.5,3.0,4.6,4.5,2.4,3.1,3.5,Civil/Mechanical Engineer
7.1,6.1,8.5,5.9,10.0,4.1,2.84,2.3,3.2,4.0,4.7,4.5,3.9,2.6,4.4,4.4,1.8,Entrepreneur
5.0,7.8,2.0,7.1,7.3,7.3,3.42,1.6,4.0,3.1,4.2,4.3,1.6,2.8,4.1,4.3,1.9,Banker/Financial Analyst
5.9,8.9,4.6,3.4,4.1,7.4,4.48,3.8,4.4,4.9,3.5,3.8,2.4,2.4,4.6,2.2,4.3,Data Scientist
3.6,6.9,8.7,8.5,5.1,5.9,3.44,1.9,4.3,3.4,4.1,5.0,2.5,3.4,2.8,3.9,3.7,Teacher/Lecturer
4.7,5.8,5.4,8.7,7.7,6.6,4.53,2.7,3.5,4.6,5.0,3.2,3.2,1.6,3.3,4.0,3.7,Human Resources Manager
7.1,8.1,5.1,6.9,4.8,6.4,3.97,3.1,4.5,2.6,3.3,2.8,3.4,4.5,4.5,1.9,4.6,Medical Lab Scientist
4.3,4.5,6.8,9.9,4.4,4.8,3.8,1.0,4.0,5.0,4.2,5.0,4.3,2.4,3.6,5.0,4.1,Teacher/Lecturer
5.1,8.5,6.6,4.1,4.5,7.6,3.62,5.0,3.8,4.9,2.5,3.5,3.4,4.5,3.6,2.2,4.2,Cybersecurity Analyst
6.0,4.0,8.7,4.8,4.0,4.4,2.98,3.0,3.1,4.2,3.3,3.2,4.8,3.0,1.9,3.4,2.0,Graphic Designer/UI-UX
9.4,7.3,2.3,5.5,1.0,5.9,3.03,3.6,3.2,5.0,4.4,2.4,1.8,4.4,3.9,3.3,4.1,Medical Lab Scientist
7.0,5.9,6.7,7.5,7.8,5.5,2.48,1.9,3.2,3.5,4.1,3.9,3.9,3.5,4.1,3.7,4.5,Entrepreneur
4.8,5.9,10.0,5.0,6.8,3.3,3.47,2.6,2.4,4.1,4.8,2.9,4.8,3.8,3.7,2.0,3.5,Graphic Designer/UI-UX
2.9,4.5,6.1,7.9,8.9,4.5,2.65,1.4,3.4,4.5,4.4,4.9,4.5,1.4,3.2,4.8,2.2,Marketing/Sales Executive
2.5,5.4,7.2,8.8,9.2,5.5,3.83,1.0,1.9,2.8,3.6,4.8,5.0,2.9,3.4,4.6,3.2,Marketing/Sales Executive
5.1,9.7,4.3,5.6,5.6,9.6,2.96,5.0,4.8,4.0,3.9,3.1,3.3,3.6,3.2,4.5,3.5,Software Developer
6.8,6.1,6.8,5.2,9.3,7.7,2.36,1.0,3.8,3.6,3.6,4.9,3.7,4.5,3.4,4.1,2.6,Entrepreneur
